Author,Rating,Title,Body
Pallab Kumar Bose,4,4.0 out of 5 starsGood quality as per price,Quality is good.. but I ordered the yellow colour instead I get black colour..
Placeholder,2,2.0 out of 5 starsPoor build quality,Torch intensity is good . But build quality is poor. Feels like it would break if it falls on ground
Rohit Sharma,3,3.0 out of 5 starsValue for money,Nice
Susruta Associates,4,4.0 out of 5 starsTorch ligjt re chaerjable,"Intensity is very low and need a console for chargerNow a days people are using C tipy pin for their mobile, for this light other side USB pin provided"
krishna,4,4.0 out of 5 starsPocket light,Handy product for daily and emergency situations.
Lakshminarayanan AS,5,5.0 out of 5 starsHandy,Excellent product at this price rangeProsHandyCan be carried in tripsHas dual mode functional torch and flashlightClip for attaching to dressHas charging indicator and charges under less than 3 hours for meConsMicro usb charging port so u need to carry a separate cableThere is a lanyard hole but finding a lanyard of that diameter is difficult
Momin zubair,4,4.0 out of 5 starsIt's Good,It's Good
PRADEEP SINGH,3,3.0 out of 5 starsYou can get better than this,The colour of the torch will not be of your choice.. I ordered Yellow and got black moct of the reviews says the same alsothe brightness of the torch is not so good it's just ok.. you can get better brightness in other torch.quality is good
"Sandeep , it's like a froud in the name of spirulina teblet I don't buy again",2,2.0 out of 5 starsDurability,On off battan old type
SS PARASHAR,4,"4.0 out of 5 starsHandy to use,",It IS WORTH OF MONEY..
Soham Das,5,5.0 out of 5 starsNice handy torch.,"No nonsense easy to use torch light. Clips on shirt for handsfree operation, and bright enough at the price point. Light weight and also use as emergency lantern."
Ajay Singh Hada,4,4.0 out of 5 starsGood product,Battery backup is not good lasts for 2 hours only
Placeholder,5,5.0 out of 5 starsSuperb one,Great one
Amazon Customer,4,4.0 out of 5 starsValue for money product,Value for money product. Battery life is satisfactory. Product usability is good. The clip quality could have been better
Shobhit sinha,4,4.0 out of 5 starsVery good product.,"Battery and range is excellent but only one problem, you need to struggle while inserting the power cord in the slot, feels like it will break."
Bhushan Manapure,4,4.0 out of 5 starsPocket size Emergency Light of 1W + 3W combination,"Bright light, dual mode is good for emergency use, Small pocket size"
vishal,5,5.0 out of 5 starsIncredible product must buy,Great torch value for money gave it to my son he loved it good throw of light for this size torch
Book hoarder,5,5.0 out of 5 starsAmazing,"Received the product in Great condition. The light just does its job. It's light, loght quality is great - good for daily use. Works very well."
trigartvanshi,5,5.0 out of 5 starsSuper bright,It is great. Brightness is full of all the lumens you can jmagine considering the size. Only flipside is size. It was advertised as 3.5 cm long but it might probably be 3.5 inches long. Rest all good good.
shamadman,3,3.0 out of 5 starsOk for price,Looks sturdy but the slider switch came off on first use. Will have to stick it back. Light is adequate.
Mario,4,4.0 out of 5 starsHow to select colour,"The torch is pocket friendly,,, brightness A1... I would like to purchase again....How to select colour..?? Can anyone help"
Jb Magar,5,5.0 out of 5 starsEveready DL mini light,"“Yes, I would recommend this product. I like it very much.”"
Amazon customer,5,5.0 out of 5 starsMust for every home,Small but very powerful. Torch is good but the emergency light is as good as the Torch light. Built quality is top notch
Rahul,5,5.0 out of 5 starsEveready,"This is too good bright light ,led as well for 169rs it's totally worth it"
Manash pathak,5,5.0 out of 5 starsFULLY VALUE OF MONEY,VERY GOOD PRODUCT
SURESH RAMASAMY,5,5.0 out of 5 starsNice product,Worty buying
Amazon Customer,5,5.0 out of 5 starsCompact rechargeable,Perfect
deepak deshwal,4,4.0 out of 5 starsChoose wisely according to your needs.,"Its too lightweight and has a quite bright luminous light..Don't think twice, go for it.. you don't regret....I just little sad because amazon ordered different color.."
bindesh,5,5.0 out of 5 starsSide light is very good.,After using Multiple torches this one is best. Side light is very useful.
Rohit  Borse,5,5.0 out of 5 starsGo for if you want under 2 hour battery backup.,First order is faulty so I replaced and received proper working product.I didn't expect more then 1 hours battery backup but the product good
